cause,effect,sentence,source
situations,crime,"While providing a deterrent for crime, hardship cases such as Jean Valjean's and Fantine's fall through the cracks of society when they deserved special attention because of the situations that caused the crime.",wikipedia_sentence
drug-use,crime,Crime associated with drugs and drug-use is also on the rise.,wikipedia_sentence
convenience_stores,crime,"While robberies may be the crime most often associated with convenience stores, shoplifting is also quite common in such establishments.",wikipedia_sentence
then_encounters_the_brother_of_an_mp,crime,He then encounters the brother of an MP who is always causing crime.,wikipedia_sentence
muckers,crime,"On October 23–24, 1897 three people were killed and the crime was attributed to the Muckers led by Aurélia Maurer, the daughter of Jacobina.",wikipedia_sentence
lack_of_self-control,crime,"In 1990, Hirschi and Gottfredson wrote that lack of self-control, which was tied to parenting issues, was the cause of crime.",wikipedia_sentence
excess_supply_of_apartment_complex_units,crime,"They concluded that an excess supply of apartment complex units was the main cause of crime, a lack of pride in the community, and unsupervised children.",wikipedia_sentence
pornographic_influence_to_sue_the_pornographers,crime,Another feminist approach was designed to permit survivors of crime when the crime was the result of pornographic influence to sue the pornographers.,wikipedia_sentence
fading_career,crime,"It begins the story of Zelda the Great, a magician whose fading career has led her to crime.",wikipedia_sentence
gambling_industry,crime,"Although supporters of riverboats were determined that legalizing riverboat gambling would bring more money into Pennsylvania, fiscal experts and social scientists had said that the gambling industry could generate crime and actually cost the state money.",wikipedia_sentence
reconstruction_statewide,crime,"The Texas State Police was formed during the administration of Texas Governor Edmund J. Davis on July 22, 1870, to combat crime associated with Reconstruction statewide in Texas.",wikipedia_sentence
high_social_inequality,crime,Gallan maintains that high social inequality causes crime and that tackling inequality would help tackle crime.,wikipedia_sentence
engel,crime,"In the small village of Herzbach, memories of the unsolved murder of 12-year-old Lucy are still alive and the crime is attributed to Engel.",wikipedia_sentence
circumstantial_evidence,crime,Dr. Roy is framed for the crime due to circumstantial evidence.,wikipedia_sentence
vengeance,crime,"Delitala was indicted in 1572 and taken into prison, possibly for a crime associated with vengeance.",wikipedia_sentence
hormonal_protection,crime,"During the campaign against Lincoln, Boozman came under criticism when he claimed that victims of rape were rarely impregnated as a result of the crime due to hormonal protection that results from a ""true"" rape.",wikipedia_sentence
sentimentality,crime,"Thus sentimentality, a refusal to face unpleasant realities, causes crime"".",wikipedia_sentence
form_of_mental_disease,crime,"He urged that crime was due to a form of mental disease, and that the forces against it must be carefully marshalled if success is to be attained.",wikipedia_sentence
learning_disability,crime,Learning disability is a substantial discrepancy between IQ and academic performance and is associated with crime.,wikipedia_sentence
mystery_of_the_conspiracy,crime,"The story of Richard Roose and his fate has many threads, combining as it does the elements of the cook as poisoner, the mystery of the conspiracy leading to the crime, the sensational nature of the punishment, the legal process and precedent, all in the context of the relationship of Henry VIII and Anne Boleyn and the political environment of the English Reformation.",wikipedia_sentence
factional_dispute,crime,"Police attributed the crime to a factional dispute, linked to Jamal's attacks on Elijah Muhammad.",wikipedia_sentence
emotional_responses,crime,"However, they were given imperfect programming which caused them to determine that since crime is caused by emotional responses, all beings with emotions must be evil.",wikipedia_sentence
chinatown_represented_otherness,crime,"In the early years, Chinatown represented otherness, and was associated with crime, unleashed sexuality, opium dens, gambling, filth, run-down housing and mysterious back-alleys.",wikipedia_sentence
mobs,crime,"Unfortunately, a lot of the crime associated with these mobs is just as bad as the crime they claim they are attempting to prevent.",wikipedia_sentence
japanese_secret_society_or_an_american_organized_sex_ring,crime,"The expatriate community in Peking was widely shocked at the crime which, without specific evidence, was variously attributed to a Japanese secret society or an American organized sex ring.",wikipedia_sentence
white_eagle_'s_brother-in-law,crime,"In the story line, Dixon White Eagle kills an old miner, and the crime is falsely attributed to White Eagle's brother-in-law, Vic Bradley (Don Dubbins).",wikipedia_sentence
accident,crime,"As described in a film magazine, Lewis Vickers (Reid), a young American languishing in South America because he is ""wanted"" for a crime which was the result of an accident, comes across another American Hobart Lee (Reid) who greatly resembles him.",wikipedia_sentence
entire_jewish_community_of_venezuela,crime,"The Wiesenthal Center said, ""By breaking into these Jewish institutions, it was insinuated that the entire Jewish community of Venezuela was associated with this crime and suggests the collective responsibility in which every Jew is endangered.""",wikipedia_sentence
abandonment,crime,"The theory suggests that abandonment causes crime, rather than crime causing abandonment.",wikipedia_sentence
fraudulent_get-rich-quick_scheme,crime,"The film stars Carlos Cores as a journalist with an inferiority complex who partners with a Hungarian immigrant, played by Vassili Lambrinos, in a fraudulent get-rich-quick scheme that leads to crime and tragedy.",wikipedia_sentence
nettles_'_disappearance,crime,"In contrast to the cases featured in those shows, no-one has been convicted of any crime associated with Nettles' disappearance.",wikipedia_sentence
abuse_of_drugs,crime,"August 2 – President Carter delivers an address on his ""sending Congress a message which expresses my strong concern about the crime and sickness and death caused by the abuse of drugs, including barbiturates and alcohol"" in the Briefing Room.",wikipedia_sentence
gang_of_amazons,crime,"According to media reports, the Chudakovs were killed by a gang of ""tsapkovsky"", but later attributed the crime to the ""Gang of Amazons"".",wikipedia_sentence
serial_killer,crime,"At first the crime was attributed to the serial killer, but this time the murderer behaved sloppy because he let many people see him leave the hotel with the victim and going out alone, leaving fingerprints and DNA samples all over the room and the body.",wikipedia_sentence
cultivation_of_marijuana,law_enforcement,The cultivation of marijuana led to conflicts among the communalists and with law enforcement and the idealism and live and let live atmosphere that Jost saw in the experiment shattered.,wikipedia_sentence
dorner_'s_threats_in_his_manifesto,law_enforcement,"After the first killings, Dorner's threats in his manifesto, caused law enforcement to mount a widespread manhunt that spread from California to Nevada and Mexico.",wikipedia_sentence
water_trading,tax,It has been proposed that a means of compensating damaged parties is through a tax associated with water trading.,wikipedia_sentence
raves,illegal_drugs,Raves are associated with illegal drugs such as Ecstasy and psychedelic drugs.,wikipedia_sentence
deployment_of_chemical_weapons,illegal_drugs,"Australian Customs Service breeds and trains Labradors to detect illegal drugs, firearms, explosives and hazardous  chemical precursors associated with the manufacture or deployment of chemical weapons.",wikipedia_sentence
manufacture,illegal_drugs,"Australian Customs Service breeds and trains Labradors to detect illegal drugs, firearms, explosives and hazardous  chemical precursors associated with the manufacture or deployment of chemical weapons.",wikipedia_sentence
criminal_charges,prison,"In most jurisdictions, individuals found to be providing medical, nursing or other professional services without the appropriate certification or licence may face sanctions including even criminal charges leading to prison.",wikipedia_sentence
activities,prison,"Because activities were often very dangerous and could lead to prison or death, SNCC wanted all participants to support each activity.",wikipedia_sentence
fraudulent_claims_of_child_benefit,prison,"Fraudulent claims of Child Benefit are treated very seriously, and can result in large fines or prison for up to 3 years.",wikipedia_sentence
porn_possession,prison,"Pornographic websites are blocked by the government, pornography is largely inaccessible, and porn possession, production, distribution and sale can lead to fines, prison or corporal punishment.",wikipedia_sentence
production,prison,"Pornographic websites are blocked by the government, pornography is largely inaccessible, and porn possession, production, distribution and sale can lead to fines, prison or corporal punishment.",wikipedia_sentence
distribution_and_sale,prison,"Pornographic websites are blocked by the government, pornography is largely inaccessible, and porn possession, production, distribution and sale can lead to fines, prison or corporal punishment.",wikipedia_sentence
legal_troubles,prison,"Legal troubles, including a perjury conviction, ended Zeller's career at the ministry and led to prison and public disgrace in the mid-1890s (although his prison sentence was later repealed).",wikipedia_sentence
punishment_for_violations,prison,Punishment for violations can result in prison.,wikipedia_sentence
overt_literary_resistance,prison,"After the Japanese occupation, censorship, prison, or even to death followed overt literary resistance and the predominant emotion among Korean writers in the 1920s was near-despair.",wikipedia_sentence
predominant_emotion_among_korean_writers_in_the_1920s_was_near-despair,prison,"After the Japanese occupation, censorship, prison, or even to death followed overt literary resistance and the predominant emotion among Korean writers in the 1920s was near-despair.",wikipedia_sentence
achievements_of_people_who_have_successfully_turned_their_backs_on_patterns_of_behaviour,prison,"Other key programmes featured on National Prison Radio include:\n\n Porridge – a daily breakfast show which is designed to put listeners into a positive frame of mind in preparation for the day;\n NPR Talk – a daily speech strand which includes in-depth features and interviews designed to inspire and inform listeners, engaging the audience in the debates that surround criminal justice and celebrating the achievements of people who have successfully turned their backs on patterns of behaviour that may have led them to prison;\n The Request Show – a daily two-hour request show designed to build National Prison Radio’s audience and keep people in prison in touch with family and loved-ones on the outside;\n Straightline – a weekly dance music-based request show.",wikipedia_sentence
inquiry,truth,"The common features of these theories are a reliance on the pragmatic maxim as a means of clarifying the meanings of difficult concepts such as truth; and an emphasis on the fact that belief, certainty, knowledge, or truth is the result of an inquiry.",wikipedia_sentence
senses,truth,But the senses cannot lead to truth; thought and reflection must look at the thing from every side.,wikipedia_sentence
empirical_investigation_of_reality,truth,"Scientific skeptics maintain that empirical investigation of reality leads to the truth, and that the scientific method is best suited to this purpose.",wikipedia_sentence
jean_grey_'s_return,truth,"As Jean Grey's return might cause the truth about Madelyne to be uncovered if the two were to meet, Sinister tasked his Marauders with killing Madelyne and bringing him Nathan, the fruits of his scheme.",wikipedia_sentence
meditation,truth,"At this stage the yogi realises that all true knowledge comes from within oneself, and the mind becomes satisfied that meditation will lead to all truth.",wikipedia_sentence
adversarial_litigation,truth,They show that the core notion that adversarial litigation will lead to the truth is true if the parties are symmetrically informed and both have access to verifiable evidence that demonstrates the truth and so long as one of the parties prefers the decision that even a naive decisionmaker (who chooses from a set of decisions suggested by the parties) will reach under full information to the alternative under partial information.,wikipedia_sentence
speculation,truth,"Of the utmost importance to the school is an underlying principle attributed to the founder Dawud that the validity of religious issues is only upheld by certainty, and that speculation cannot lead to the truth.",wikipedia_sentence
collective_effort,truth,"The truth was the result of a collective effort in which everyone had equal access and share, rather than being imposed by an individual of a superior mind.",wikipedia_sentence
white,truth,"White was also associated with justice, order, truth, invulnerability, and insight: all virtues associated with the nganga.",wikipedia_sentence
deliberate_abstention_from_making_inquiries,truth,"Furthermore, the element of “recklessness,” in the context of circumstance crimes, has been expressed in terms of a deliberate abstention from making inquiries which might lead to the truth.",wikipedia_sentence
apollo_in_an_oracular_function,truth,"Apollo in an oracular function is associated with both plague, purification and truth.",wikipedia_sentence
sheep_'s_doctrine,plato,"Introduction\nPrologue\nShowing that the system of the universe originates in the Self, and that the continuation of the life of all individuals dependents on strengthening the Self\nShowing that the life of the Self comes from forming desires and bringing them to birth\nShowing that the Self is strengthened by Love\nShowing that the Self is weakened by asking\nShowing that when the Self is strengthened by Love its gains dominion over the outward and inward forces of the universe\nA tale of which the moral is that negation of the Self is a doctrine invented by the subject races of mankind in order that by this means they may sap and weaken the character of their roles\nTo the effect that Plato, whose thought has deeply influenced the mysticism and literature of Islam, followed the sheep's doctrine, and that we must be on our guard against his theories\nConcerning the true nature of poetry and the reform of Islamic literature\nShowing that the education of the self has three stages : Obedience, Self-control, and Divine Vicegerence\nSetting forth the inner meanings of the names of Ali\nStory of a young man of Merv who came to the saint Ali Hujwiri – God have many on him and complained that he was oppressed by the enemies\nStory of the bird that was faint with thirst\nStory of the diamond and the coal\nStory of the Sheikh and the Brahmin, followed by a conversation between Ganges and Himalayas to the effect that the continuation of social life depends on firm attachment to the characteristic traditions of the community\nShowing that the purpose of the Muslims 's like is to exalt the Word of Allah, and that the Jihad(to strive or to struggle), if it be prompted by land-hunger, is unlawful in the religion of Islam\nPrecepts written for the Muslims of India by Mir Naj«t Nakshbandi.",wikipedia_sentence
